Janela,Delta,Theta,Alpha,Beta,Gamma
30.0,0.0,89.2746612701533,86.83024918334905,100.0,4.3556227525227476
31.0,0.0,100.0,70.48681433306227,27.535857813409258,0.02484504169848878
32.0,0.0,100.00000000000001,82.96637485936698,40.30568476684624,0.06408604180216515
33.0,0.0,100.0,98.82283862180323,47.93513960342808,0.23929666664501115
34.0,0.0,44.869605513786006,99.99999999999999,69.40260667526682,1.1908458961493793
35.0,0.0,40.47524237648392,100.00000000000001,62.09038856347839,0.9134468380195029
36.0,0.0,38.529275611580424,100.0,56.08972780003773,0.9037859240109306
37.0,0.0,46.02258225037702,100.0,57.058698639773446,0.8180253842625584
38.0,0.0,47.29369016310618,100.0,57.021382655623164,0.6971886485583775
39.0,0.0,38.58730579399975,100.0,57.307041193098925,0.9852851668450056
40.0,0.0,24.33145153369543,100.0,30.891768857193256,0.5336227773605802
41.0,0.0,22.44371135707089,100.0,24.54322461359487,0.42107937178775845
42.0,0.0,13.657942974997935,100.0,17.63772688261127,0.3060519181664428
43.0,0.0,11.564133391795016,100.0,15.91231666546819,0.20618256602914226
44.0,0.0,11.070578556078052,99.99999999999999,15.501358175981412,0.17812235559176398
45.0,0.0,13.666632508483364,100.00000000000001,15.010635474817752,0.21663556046227594
46.0,0.0,11.753603813896932,100.00000000000001,14.911989995466977,0.2581032011603991
47.0,0.0,14.291127972660052,100.0,15.408812280187293,0.24396109235626814
48.0,0.0,16.12458021272884,100.0,15.71849348615043,0.2679757639208897
49.0,0.0,17.622313786859852,100.0,16.24162567809266,0.29928321810363756
50.0,0.0,12.756447263465839,100.0,15.906983114871592,0.2452250520572767
