Janela,Delta,Theta,Alpha,Beta,Gamma
31.0,0.0,100.0,70.48681432482796,27.53585781233015,0.02484504156233469
32.0,0.0,100.0,82.96637484853896,40.30568476305071,0.06408604103620441
33.0,0.0,100.0,98.82283860627396,47.935139598509416,0.23929666608873557
34.0,0.0,44.86960549934073,100.00000000000001,69.40260668359899,1.1908458960914798
35.0,0.0,40.47524236680566,99.99999999999999,62.09038857022559,0.9134468381249516
36.0,0.0,38.52927561825691,100.0,56.089727804136174,0.9037859243753203
37.0,0.0,46.02258226382365,99.99999999999999,57.058698643367066,0.8180253845193811
38.0,0.0,47.293690166737306,99.99999999999999,57.02138266044804,0.6971886486264096
39.0,0.0,38.58730581692144,100.0,57.3070411956308,0.9852851667152966
40.0,0.0,24.33145154217786,100.00000000000001,30.89176885754618,0.5336227772425017
41.0,0.0,22.443711360717685,100.0,24.543224613042177,0.42107937150611036
42.0,0.0,13.657942978962014,99.99999999999999,17.637726882266193,0.30605191798813147
43.0,0.0,11.56413339727083,100.0,15.912316665239306,0.20618256592350415
44.0,0.0,11.070578558932235,100.0,15.501358175923357,0.1781223554497084
45.0,0.0,13.666632510529716,99.99999999999999,15.010635474846453,0.21663556029619518
46.0,0.0,11.753603813266952,100.0,14.911989995203266,0.25810320097239703
47.0,0.0,14.291127967870352,100.00000000000001,15.408812279825465,0.24396109209019645
48.0,0.0,16.124580204079674,100.0,15.718493485712612,0.2679757635665769
49.0,0.0,17.622313778480525,99.99999999999999,16.241625677752932,0.2992832179363042
50.0,0.0,12.756447256445757,99.99999999999999,15.906983114553196,0.2452250518411707
